Riddle,Answer
"I am a mirror to many, yet for some, I show none. Who finds no reflection under the sun?",A Vampire
"I can slip through fingers, yet hold a ship. I'm not a ghost, yet I can drip. What am I?",Water
"I am spun but not weaved, I appear where I'm least perceived. What am I?",A Cobweb
"I have keys but open no locks, I tick but I'm not a clock. What am I?",A Piano
"I stand in the field, yet I do not yield. Crows may come, but they do not feast. What am I?",A Scarecrow
"I howl through the night but am not alive, I bend trees but am not strong. What am I?",Wind
"I fly on a stick and cackle with glee, yet I'm not a bird up a tree. What am I?",A Witch
"I house the dead but am not a coffin, I am silent but am not often. What am I?",A Crypt
"I am bound but am not a prisoner, I have a spine but am not a vertebrate. What am I?",A Book
"I repeat but do not speak, I answer but do not question. What am I?",An Echo
"I am worn by the dead but am not a shroud, I am white but am not a cloud. What am I?",A Sheet
I am darkest when the light is brightest. What am I?,A Shadow
"I am brewed but not beer, I am bubbled but not a stew. What am I?",A Potion
"I am seen in the dark but am not a light, I gleam in the night with a luminous sight. What am I?",Cat's Eyes
"I wax and wane but am not a candle, I influence tides but am not the wind. What am I?",The Moon
"I am a home to the nocturnal, yet I do not sleep. What am I?",A Belfry
"I bind but am not a rope, I clank but am not a bell. What am I?",A Chain
"I haunt but am not a ghost, I am a tale but am not a book. What am I?",A Legend
"I am wise but do not advise, I can hoot but cannot boot. What am I?",An Owl
"I am carved but am not wood, I am lit but am not fire. What am I?",A Pumpkin
"I am human but sometimes not, I change with the moon, whether I like it or not. What am I?",A Werewolf
"I stand still but am not alive, I mark the end but am not a period. What am I?",A Tombstone
"I sail the seas but am not a ship, I am crewed by the dead on an eternal trip. What am I?",A Ghost Ship
"I am left behind but am not a footprint, I am ghostly but am not a spirit. What am I?",Ectoplasm
"I am experienced in sleep but am not a dream, I frighten but am not a monster. What am I?",A Nightmare
"I swirl but am not a whirlwind, I am a portal but am not a door. What am I?",A Vortex
"I am operated by a spirit but am not a body, I communicate but do not speak. What am I?",A Ouija Board
"I am cast but am not a net, I change fate but am not destiny. What am I?",A Spell
"I am used to seek spirits but am not a medium, I flicker but am not a flame. What am I?",A Séance Candle
"I am dead but can be found in chambers, I am a ruler but do not command. What am I?",A Mummy
"I am a friendly ghost, but my uncles are quite mean. Who am I?",Casper
"I haunt your dreams, with a glove that screams. Who am I?",Freddy Krueger
"I am a great white, causing beach fright. What am I?",Jaws
"I am a doll, but I'm not cute and small. Who am I?",Chucky
"I make objects fly, in a house near a cemetery, what am I?",Poltergeist
"I haunt a hotel in winter, driving a writer to splinters. Who am I?",Jack Torrance
"I crawl from a TV, after seven days you'll see me. Who am I?",Samara
"I stalk babysitters, with a mask that's a real thriller. Who am I?",Michael Myers
I spin my head and spew some dread. Who am I?,Regan
"I haunt a camp, with a mask that's damp. Who am I?",Jason Voorhees
"I record your fears, then it's your life I shear. Who am I?",Ghostface
"I am a possessed toy, bringing no joy. Who am I?",Annabelle
"I run a motel, and things don't go so well. Who am I?",Norman Bates
"I am a vampire hunter, with a blade that's a real thunder. Who am I?",Blade
"I am a priest, fighting a demonic beast. Who am I?",Father Merrin
"I film witches in the woods, but misunderstood. Who am I?",Heather
"I am bullied and drenched, then the prom is wrenched. Who am I?",Carrie
"I fight aliens with a crew, in deep space, who knew? Who am I?",Ripley
I defend a mall from the undead crawl. Who am I?,Peter
"I am bitten, then my fate is written. Who am I?",David
"I am a child, but my actions are wild. Who am I?",Damien
"I see death, before it steals your breath. Who am I?",Aidan
"I fall for a vampire, sparking a dire pyre. Who am I?",Mina
"I host horror with a bust, in me, you can trust. Who am I?",Elvira
"I summon cenobites, with a puzzle that bites. Who am I?",Frank
"I create life, causing strife. Who am I?",Dr. Frankenstein
"I am a journalist, uncovering a list. Who am I?",Robert
"I am a clown, in a town down. Who am I?",Pennywise
"I survive Ghostface, in a deadly chase. Who am I?",Sidney
"I talk to spirits, with a gift that merits. Who am I?",Cole
"I am a witch, causing a glitch. Who am I?",Blair
"I am a psychic, solving things quite cryptic. Who am I?",Lorraine
"I steal bodies, in creepy lobbies. Who am I?",Tall Man
"I am a caretaker, turned life-taker. Who am I?",Grady
"I am silent but deadly, with a walk so steady. Who am I?",Michael Myers
"I haunt a Connecticut family, with scares quite uncannily. Who am I?",Bathsheba
I have knives for fingers and love your dreams to linger. Who am I?,Freddy Krueger
"I’m picked up on the road, but my intentions are a heavy load. Who am I?",Mary
"I am an ancient shape, causing a family to gape. What am I?",The Pyramid
"I appear when traditions are broken, and my presence is a spooky token. Who am I?",Sam
"I haunt a house in Japan, scaring every man. Who am I?",Kayako
"I am a car with a mind of my own, causing chaos wherever I'm shown. Who am I?",Christine
"I possess a young girl, making her head twirl. Who am I?",Pazuzu
"I bring the dead to life, causing much strife. Who am I?",The Undertaker
"I bring death in seven days, after a tape plays. What am I?",The Ring
I show reflections of a ghastly connection. What am I?,Oculus
"I am a gelatinous mass, consuming all in my path. What am I?",The Blob
"I burst from chests, creating quite a mess. What am I?",Xenomorph
"I am a nun, but my presence is no fun. Who am I?",Valak
"I suck people into a static dimension, with a ghastly intention. What am I?",Poltergeist TV
"I have scissors for hands, but creating beauty is where I stand. Who am I?",Edward
"I transform with the moon, howling a haunting tune. Who am I?",Werewolf
"I am a creature from the sea, but no Ariel, I guarantee. Who am I?",Merman
"I am a ventriloquist's doll, but my intentions appall. Who am I?",Billy
"I am a hotel that traps souls, where evil takes its toll. What am I?",Overlook Hotel
"I turn monstrous if fed after midnight, causing a frightful sight. What am I?",Gremlin
"I study tribes, but my fate describes a deadly vibe. Who am I?",Darrow
"I am a house of dolls, where horror befalls. What am I?",Dollhouse
"I am a beacon of despair, with a spiral stair. What am I?",The Lighthouse
"I am a space above, where dark secrets shove. What am I?",Attic
"I envelop a town, where creatures are found. What am I?",The Fog
"I seem innocent and sweet, but my intentions aren’t neat. Who am I?",Esther
"I am a puppet who seeks a soul, to become a real boy is my goal. Who am I?",Blade
"I experiment with flies, but my project belies. Who am I?",Brundle
"I study demons, with my wife, we find reasons. Who am I?",Ed Warren
"I shroud a town, where monsters are found. What am I?",The Mist
"I am immortal with a thirst, by sunlight, I'm cursed. Who am I?",Dracula
"I am a clown in the sewer, my presence is a terror. Who am I?",Pennywise
"I wear a human mask, in brutality, I bask. Who am I?",Leatherface
"I abduct in the night, causing an unearthly fright. What am I?",UFO
"I fly on a broom, casting spells of doom. Who am I?",Witch
"I am a videotape, watching me, there's no escape. What am I?",The Ring
"I have a Glasgow smile, my chaos runs a mile. Who am I?",Joker
"I am a wall hanging, but my story is quite banging. What am I?",The Tapestry
"I am a forest where witches reside, entering me, you must decide. What am I?",Black Hills Forest
"I am a hotel with room 1408, staying in me is a mistake. What am I?",Dolphin Hotel
"I am a spirit in the TV, reaching out eerily. Who am I?",Carol Anne
"I am a game that traps your soul, playing me is a dangerous goal. What am I?",Jumanji
"I am a mirror that brings bad luck, breaking me is amiss amuck. What am I?",Mirror
"I am a girl in a well, my story, the tape will tell. Who am I?",Samara
"I stand in the field, a haunting yield. What am I?",Scarecrow
"We are children who whisper, our presence makes you shiver. Who are we?",Children of the Corn
"I am a painting that watches you, my eyes follow your every move. What am I?",The Painting
"I am a house on haunted ground, within my walls, spirits are found. What am I?",Amityville House
"I am a corpse bride, in the underworld, I reside. Who am I?",Emily
"I am a doll, but I'm not small, my size can appall. What am I?",Slappy
"We are neighbors, not what we seem, our secret is quite extreme. Who are we?",The Klopeks
"I am an undertaker, my graveyard is a real shaker. Who am I?",Jud
"I am a window to another world, where horrors are unfurled. What am I?",The Window
"I am a lagoon, my creature makes you swoon. What am I?",Black Lagoon
"I am a fog that brings the dead, through me, they are widespread. What am I?",The Fog
"I am a mask that brings fear, every Halloween I appear. What am I?",Michael's Mask
"I am a haunt that's not a ghost, but my scares are utmost. What am I?",The Haunt
"I am an omen of death, predicting your last breath. What am I?",The Omen
"I am a phantom, not of the opera, but my presence is a chimera. What am I?",Phantom
"I am a potion, causing quite a commotion. What am I?",Witch's Brew
"I bubble and boil, with ingredients to coil. What am I?",Cauldron
"I cast spells with a flick, my magic is quite slick. Who am I?",Witch
"I contain spells, with enchanting smells. What am I?",Spellbook
"I am pointy and black, witchy fashion I don't lack. What am I?",Witch Hat
"I am full and bright, enhancing the witch's might. What am I?",Full Moon
"I fly through the night, giving folks a fright. What am I?",Broomstick
"I am black and bring bad luck, with a witch, I'm stuck. What am I?",Black Cat
"I am carved and lit, on porches I sit. What am I?",Jack-o'-lantern
I am newt and quite an ingredient loot. What am I?,Eye of Newt
"I'm a friendly ghost, not one to fear, my name sounds like a weather, clear. Who am I?",Casper
"In a hotel, I shine, a boy with a gift, ""Redrum"" I write, through time I shift. Who am I?",Danny (The Shining)
"I'm a vampire, but not so mean, in a sunny town, my face is seen. Who am I?",Edward (Twilight)
"A doctor I was, till I met a beast, now I hunt in the night, on blood I feast. Who am I?",Dracula
"A pumpkin king, in a skeleton guise, through a door of trees, another holiday I apprise. Who am I?",Jack Skellington (The Nightmare Before Christmas)
"A headless horseman, in a sleepy town, I search for a head, with a pumpkin crown. Who am I?",The Headless Horseman (Sleepy Hollow)
"A doll I am, with a spirit inside, ""Hi, I'm..."", I say, where do I hide?",Chucky (Child's Play)
"A girl in a well, a tape you'll see, seven days later, death you'll plea. Who am I?",Samara (The Ring)
"A family of fright, in a spooky manor, I'm the small hand, with a mischievous manner. Who am I?",Thing (The Addams Family)
"A wizard young, with a scar so bold, fighting a serpent, in tales of old. Who am I?",Harry Potter
"A scientist mad, with a monster to show, from graves and labs, my creation grows. Who am I?",Dr. Frankenstein
"A face of white, and a suit to match, in a silent night, victims I catch. Who am I?",Michael Myers (Halloween)
"A camp I haunt, with a mask so sheer, in the woods, my machete you'll fear. Who am I?",Jason Voorhees (Friday the 13th)
"A dream I am, in a striped sweater, with a clawed hand, I make nights no better. Who am I?",Freddy Krueger (A Nightmare on Elm Street)
"A tale I spin, of Sanderson sisters three, in Salem they dance, who narrates me?",Thackery Binx (Hocus Pocus)
"A foggy town, with pyramid head, in silent streets, many dread. Where am I?",Silent Hill
"A motel I own, with a mother so dear, behind the curtain, my knife you'll fear. Who am I?",Norman Bates (Psycho)
"A cannibal I am, with a taste so refined, with fava beans, a nice Chianti you'll find. Who am I?",Hannibal Lecter
"A day I am, when the dead can roam, in Mexico celebrated, spirits find home. What am I?",Day of the Dead (Día de Muertos)
"A zombie I am, in a mall we stay, consumerism displayed, in a decayed foray. Where am I?",Dawn of the Dead
"A vampire slayer, with stakes so near, in Sunnydale, I cast out fear. Who am I?",Buffy
"A werewolf I am, with a howl to the moon, in London transformed, a creature of doom. What am I?",An American Werewolf in London
"A puzzle box, a gate to hell, with chains and hooks, your flesh will tell. What am I?",Hellraiser
"A shape-shifter clown, in a town so cursed, in sewers I lurk, your bubble I'll burst. Who am I?",Pennywise (IT)
"A TV show, with Mulder and Scully, aliens and monsters, investigations so muddly. What am I?",The X-Files
"A Bates Motel guest, my end in a shower, a scream so iconic, in my final hour. Who am I?",Marion Crane
"A demon I am, with a spinning head, in a girl possessed, many fears are fed. Who am I?",Regan (The Exorcist)
"A creature I am, from the black lagoon, in murky waters, my form will loom. What am I?",Creature from the Black Lagoon
"A scientist I am, in a future bleak, I find a plague, that makes the dead speak. Who am I?",Dr. Robert Neville (I Am Legend)
"A journalist I am, with a daughter so dear, a videotape cursed, brings us fear. Who am I?",Rachel (The Ring)
"A house I am, on a haunted hill, with ghosts and ghouls, your nightmares I'll fill. What am I?",House on Haunted Hill
"A vampire I am, in New Orleans I dwell, with a diary of darkness, many tales I tell. Who am I?",Lestat (Interview with the Vampire)
"A town I am, where a fog rolls in, with ghostly sailors, and a leper's sin. What am I?",Antonio Bay (The Fog)
"A monster I am, with bolts in my neck, a creation of parts, my existence is a wreck. Who am I?",Frankenstein's Monster
"A girl I am, with telekinetic might, at prom they'll learn, of my vengeful fright. Who am I?",Carrie
"The more you take, the more you leave behind. What am I?",Footsteps
"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",An Echo
"The more you take, the more you leave behind. What am I?",Footsteps
"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",An Echo
"I can fly without wings. I can cry without eyes. Whenever I go, darkness flies. What am I?",Rain
"I can be cracked, made, told, and played. What am I?",A Joke
"I can be long or short, I can be grown or bought, I can be painted or left bare, I can be round or square. What am I?",A Pole
I'm worn by specters but never by men. What am I?,A Sheet
I'm a pumpkin who's hollow and lit up at night. What am I?,A Jack-o'-lantern
"I'm a ghost but not scary, kids make me at school. What am I?",A Drawing
I'm ridden by witches but have no seat. What am I?,A Broomstick
I'm pointy when new but dull when I'm used. Witches love me. What am I?,A Hat
I transform when the moon is full. What am I?,A Werewolf
"I'm empty and abandoned, yet filled with spirits. What am I?",A Haunted House
I'm loved by vampires but hated by humans on the neck. What am I?,A Bite
I'm given out on Halloween night and loved by sweet tooths. What am I?,Candy
I'm where the dead rest but am not a bed. What am I?,A Coffin
"I'm brewed with an eye, a tail, a whisper, and a wail. I bubble with secrets, yet my purpose never sails. In stories of old and tales so dread, I'm the concoction that evokes dread. Yet, without me, stories lose an edge, for I'm the bridge to the dark and unknown wedge. What am I?",A Witch's Brew
"I begin the night, yet end the morning, Present in haunts, without any warning. In every shadow, I lay unseen, In every scare, I'm sure to convene. What am I?",Darkness
"I dance in the night and sleep in the day, Guiding lost souls who have gone astray. I'm not a guide you might wish to follow, For my path often leads to outcomes most hollow. What am I?",A Will-o'-the-wisp
"I'm wrapped in bands, yet not a gift, Silent I stand, through sands I sift. A king I was, in times gone by, Now an eternal rest I try. Who am I?",A Mummy
