Question,Option A,Option B,Option C,Option D,Correct Answer
"What is the name of the ancient artifact that emits powerful temporal energy and allows time travel in the episode ""Timescape""?",Tox Uthat,Guardian of Forever,Orb of Prophecy,Nexus,Tox Uthat
"What is the name of the synthetic lifeform who appears in the episode ""Measure of a Man"" and fights for the right to be recognized as an individual?",Lore,Data,B-4,Lal,Data
"Which episode features the character Q putting humanity on trial for the crimes of its past in ""Star Trek: The Next Generation""?","""Encounter at Farpoint""","""All Good Things...""","""The Q and the Grey""","""Hide and Q""","""Encounter at Farpoint"""
What is the name of the ship commanded by Captain Jean-Luc Picard before he takes command of the USS Enterprise-D?,USS Stargazer,USS Defiant,USS Voyager,USS Excelsior,USS Stargazer
"What is the name of the superweapon that can devastate entire star systems, featured in the episode ""The Best of Both Worlds""?",Death Star,Genesis Device,Omega Particle,Borg Cube,Borg Cube
Who is the first officer of the USS Enterprise-D under Captain Picard's command?,William Riker,Leonard McCoy,Geordi La Forge,Worf,William Riker
"What is the name of the alien race that communicates solely through metaphors and stories in the episode ""Darmok""?",Tamarians,Cardassians,Ferengi,Klingons,Tamarians
"In the episode ""The Inner Light"", Captain Picard experiences an entire lifetime in a matter of minutes. What object triggers this experience?",Flute,Crystal,Medallion,Book,Flute
Who is the engineer responsible for designing and overseeing the construction of the USS Enterprise-D?,Montgomery Scott,Zefram Cochrane,Geordi La Forge,Miles O'Brien,Montgomery Scott
"What is the name of the intelligent, feline-like alien species encountered by the crew of the USS Enterprise-D in the episode ""The Schizoid Man""?",Caitian,Klingon,Kzinti,Xindi,Caitian
"Which episode involves the USS Enterprise-D crew members experiencing an alien artifact that grants their deepest desires in ""Star Trek: The Next Generation""?","""The Game""","""Cause and Effect""","""The Royale""","""The Inner Light""","""The Game"""
"What is the name of the colony established by Starfleet and the Cardassians in the Demilitarized Zone, featured in the episode ""The Maquis""?",New Bajor,New Earth,New Romulus,New Providence,New Bajor
"In the episode ""Unification"", which character is revealed to be secretly working with the Romulans to reunify the Vulcan and Romulan peoples?",Spock,Sarek,Tuvok,Sybok,Spock
What is the name of the shuttlecraft often used by the crew of the USS Enterprise-D for short-range missions?,Shuttlecraft Galileo,Shuttlecraft Pike,Shuttlecraft Columbia,Shuttlecraft Fermi,Shuttlecraft Galileo
"Who is the character who develops a romantic relationship with Lt. Worf and later becomes pregnant with his child in ""Star Trek: The Next Generation""?",Deanna Troi,Beverly Crusher,Tasha Yar,Jadzia Dax,Deanna Troi
"What is the name of the alien race who kidnap Captain Picard and replace him with a duplicate in the episode ""Allegiance""?",The Sheliak,The Founders,The Ferengi,The Lurians,The Sheliak
"What is the name of the space station visited by the crew of the USS Enterprise-D to undergo repairs and modifications in the episode ""Relics""?",Deep Space 9,K7,Regula One,Deep Space Station K-7,Deep Space 9
"In the episode ""The Measure of a Man"", what is the name of the Starfleet scientist who seeks to disassemble Data for research purposes?",Dr. Bruce Maddox,Dr. Julian Bashir,Dr. Lewis Zimmerman,Dr. Richard Daystrom,Dr. Bruce Maddox
"What is the name of the gas giant where the USS Enterprise-D encounters a temporal anomaly that sends the ship 26 years into the past in the episode ""Yesterday's Enterprise""?",Narendra III,Romulus,Penthara IV,Nervala IV,Narendra III
Which episode features the holodeck malfunctioning and trapping members of the crew in various fictional scenarios based on Sherlock Holmes novels?,"""Elementary, Dear Data""","""Hollow Pursuits""","""Ship in a Bottle""","""A Fistful of Datas""","""Elementary, Dear Data"""
"What is the name of the alien probe encountered by the USS Enterprise-D that emits a signal which renders Captain Picard unconscious in the episode ""The Inner Light""?",Iconian Probe,Borg Sphere,Orb of Prophecy,Talosian Probe,Iconian Probe
"In the episode ""The Drumhead"", who is brought on board the USS Enterprise-D to investigate an alleged conspiracy on the ship?",Admiral Satie,Admiral Hanson,Admiral Nakamura,Admiral Nechayev,Admiral Satie
"What is the name of the Klingon ritual of cleansing that Worf performs in the episode ""Sins of the Father"" to restore his family's honor?",Mauk-to'Vor,Rite of Ascension,R'uustai,Rite of MajQa,Mauk-to'Vor
"Which episode involves the crew of the USS Enterprise-D encountering a being that feeds on the emotions of fear and terror in ""Star Trek: The Next Generation""?","""Night Terrors""","""Masks""","""Clues""","""Genesis""","""Night Terrors"""
"What is the name of the telepathic species encountered by the USS Enterprise-D whose members communicate exclusively through images in ""Star Trek: The Next Generation""?",Lumerians,Zalkonians,Betazoids,Cairn,Cairn
"Who is the Starfleet admiral who orders Captain Picard to evacuate the USS Enterprise-D and take a desk job at Starfleet Command in ""Star Trek: Insurrection""?",Admiral Dougherty,Admiral Pressman,Admiral Nechayev,Admiral Nakamura,Admiral Dougherty
"What is the name of the colony that is established by the USS Enterprise-D crew on a distant planet in the episode ""Homeward""?",Moab IV,Terra Nova,New Paris,Haven,Moab IV
"Which episode involves the USS Enterprise-D crew members experiencing vivid dreams that cause them to lose touch with reality in ""Star Trek: The Next Generation""?","""Phantasms""","""Timescape""","""Genesis""","""Sub Rosa""","""Phantasms"""
"What is the name of the planet where the Federation's peace treaty with the Cardassians is signed in the episode ""The Maquis""?",Celtris III,Dorvan V,Bajor,Betazed,Dorvan V
Who is the character who serves as the bartender on Deep Space Nine and previously served as the bartender on the USS Enterprise-D?,Guinan,Quark,Neelix,Boothby,Guinan
"What is the name of the mysterious entity encountered by the USS Enterprise-D crew in the episode ""Conspiracy"" that is controlling high-ranking Starfleet officers?",The Parasites,The Founders,The Borg,The Crystalline Entity,The Parasites
"In the episode ""The Outcast"", what is the name of the genderless species that the USS Enterprise-D encounters, where one individual identifies as female?",J'naii,Jem'Hadar,Jorlans,Jachin,J'naii
"What is the name of the space station that serves as a major hub for commerce and diplomacy near the Bajoran wormhole in ""Star Trek: Deep Space Nine""?",Deep Space 9,Deep Space Station K-7,Regula One,Babylon 5,Deep Space 9
"Which episode involves Captain Picard and Data being stranded on a desolate planet and encountering a group of people who mistake Data for a god in ""Star Trek: The Next Generation""?","""Darmok""","""Thine Own Self""","""Who Watches the Watchers""","""Pen Pals""","""Darmok"""
"What is the name of the alien entity encountered by the USS Enterprise-D that feeds on the energy emitted by the starship's warp engines in the episode ""Galaxy's Child""?",Space Whale,Crystalline Entity,Armus,Tin Man,Space Whale
Who is the character who serves as the chief security officer aboard the USS Enterprise-D before Worf assumes the position?,Tasha Yar,Geordi La Forge,Ro Laren,Natasha Yar,Tasha Yar
"What is the name of the spaceborne lifeform encountered by the USS Enterprise-D that feeds on the energy of stars in the episode ""Starship Mine""?",The Scavenger,Tin Man,Nacene,Redjac,The Scavenger
"In the episode ""The Pegasus"", what is the name of the experimental starship that Riker served on before joining the USS Enterprise-D?",USS Pegasus,USS Stargazer,USS Hood,USS Potemkin,USS Pegasus
"What is the name of the energy-based lifeform encountered by the crew of the USS Enterprise-D that seeks to merge with Data in the episode ""Silicon Avatar""?",Crystalline Entity,Armus,Nagilum,Gomtuu,Crystalline Entity
"Which episode features the USS Enterprise-D crew members being trapped in a time loop, experiencing the same events repeatedly in ""Star Trek: The Next Generation""?","""Cause and Effect""","""Time's Arrow""","""The Inner Light""","""All Good Things...""","""Cause and Effect"""
"Who is the captain of the USS Enterprise-D in ""Star Trek: The Next Generation""?",Captain Picard,Captain Kirk,Captain Janeway,Captain Sisko,Captain Picard
What is the name of the android officer aboard the USS Enterprise-D?,Data,Spock,Seven of Nine,Odo,Data
Who is the security chief aboard the USS Enterprise-D?,Worf,Tasha Yar,O'Brien,Odo,Worf
What is the name of the ship's counselor aboard the USS Enterprise-D?,Deanna Troi,Beverly Crusher,Guinan,Ezri Dax,Deanna Troi
Who is the chief engineer aboard the USS Enterprise-D?,Geordi La Forge,Scotty,Trip Tucker,B'Elanna Torres,Geordi La Forge
What is the name of the first officer aboard the USS Enterprise-D?,William Riker,Spock,Kira Nerys,Chakotay,William Riker
Who is the captain of the USS Enterprise in the original series?,Captain Kirk,Captain Picard,Captain Janeway,Captain Sisko,Captain Kirk
What is the name of Spock's father?,Sarek,Saru,Sybok,Surak,Sarek
Who is the chief medical officer aboard the USS Enterprise in the original series?,Dr. McCoy,Dr. Crusher,Dr. Bashir,Dr. Phlox,Dr. McCoy
What is the name of the chief engineer aboard the USS Enterprise in the original series?,Scotty,Geordi La Forge,Trip Tucker,Stamets,Scotty
Who is the communications officer aboard the USS Enterprise in the original series?,Uhura,Hoshi Sato,Ensign Kim,Lt. Reed,Uhura
What is the name of the helmsman aboard the USS Enterprise in the original series?,Sulu,Wesley Crusher,Chekov,Mayweather,Sulu
"Who is the captain of the USS Voyager in ""Star Trek: Voyager""?",Kathryn Janeway,Jean-Luc Picard,Benjamin Sisko,Jonathan Archer,Kathryn Janeway
What is the name of the former Maquis crew member who serves as the chief engineer aboard the USS Voyager?,B'Elanna Torres,Tom Paris,Harry Kim,Seven of Nine,B'Elanna Torres
What is the name of the space-dwelling lifeform encountered by the USS Voyager that feeds on the energy of starships?,Spaceborne Entity,Crystalline Entity,Armus,Tin Man,Spaceborne Entity
Who is the former Borg drone who serves as the science officer aboard the USS Voyager?,Seven of Nine,Tuvok,The Doctor,Neelix,Seven of Nine
Who is the first officer aboard the USS Voyager?,Chakotay,T'Pol,Riker,Kira Nerys,Chakotay
Who is the captain of the USS Voyager?,Captain Kirk,Captain Sisko,Captain Janeway,Captain Picard,Captain Janeway
What is the name of the first officer of the USS Voyager?,Commander Riker,Commander Chakotay,Lieutenant Paris,Lieutenant Tuvok,Commander Chakotay
Which character on Voyager was originally a Maquis crew member before being integrated into Starfleet?,B'Elanna Torres,Tom Paris,Harry Kim,Seven of Nine,B'Elanna Torres
What is the name of the holographic doctor on the USS Voyager?,Dr. McCoy,Dr. Crusher,Dr. Bashir,The Doctor,The Doctor
Who is the chief engineer of the USS Voyager?,Geordi La Forge,B'Elanna Torres,Miles O'Brien,Reginald Barclay,B'Elanna Torres
What is the name of the Talaxian cook aboard the USS Voyager?,Neelix,Quark,Rom,Nog,Neelix
Who is the Vulcan security officer aboard the USS Voyager?,T'Pol,Spock,Tuvok,Sulu,Tuvok
What is the name of the sentient hologram who is an emergency medical program on the USS Voyager?,The Doctor,EMH,LCARS,The EMH Mk I,The Doctor
Who is the Borg drone who is liberated from the Borg Collective and joins the crew of the USS Voyager?,Seven of Nine,Locutus of Borg,Hugh,Borg Queen,Seven of Nine
What is the name of the quadrant of the galaxy where the USS Voyager becomes stranded during its journey home?,Alpha Quadrant,Beta Quadrant,Gamma Quadrant,Delta Quadrant,Delta Quadrant
Which character on Voyager is a former Borg drone who struggles to regain their humanity?,Seven of Nine,Neelix,Tuvok,Chakotay,Seven of Nine
"What is the name of the alien species that serves as the primary antagonist in ""Star Trek: Voyager""?",Borg,Klingons,Romulans,Species 8472,Borg
Who is the former Maquis captain who becomes the chief helmsman of the USS Voyager?,Tom Paris,Harry Kim,Chakotay,Tuvok,Tom Paris
"What is the name of the Ocampa who serves as the caretaker of the underground city on Ocampa in ""Star Trek: Voyager""?",Kes,Neelix,Odo,O'Brien,Kes
Who is the Kazon-Nistrim sect leader who becomes a recurring antagonist for the crew of the USS Voyager?,Culluh,Seska,Maje,Suder,Culluh
What is the name of the experimental slipstream drive technology developed by the USS Voyager to shorten its journey home?,Quantum Slipstream Drive,Transwarp Drive,Warp Drive,Impulse Drive,Quantum Slipstream Drive
Who is the former Borg drone who serves as the Borg liaison to the crew of the USS Voyager after being liberated from the Collective?,Seven of Nine,Locutus of Borg,Hugh,Borg Queen,Seven of Nine
What is the name of the advanced starship constructed by the USS Voyager crew to assist in their journey home?,USS Prometheus,USS Enterprise,USS Defiant,USS Dauntless,USS Prometheus
Who is the Talaxian trader who becomes a valued member of the crew of the USS Voyager?,Neelix,Kes,Tuvok,Tom Paris,Neelix
What is the name of the space station that serves as a major hub for commerce and diplomacy in the Delta Quadrant?,Terok Nor,Deep Space 9,Regula One,Empok Nor,Empok Nor
"Who is the former Borg drone who serves as the captain of the USS Voyager during the alternate future depicted in the episode ""Endgame""?",Harry Kim,Chakotay,Tuvok,Admiral Janeway,Harry Kim
"What is the name of the alien race encountered by the USS Voyager that exists outside of normal space-time in ""Star Trek: Voyager""?",Q,Voth,Q Continuum,Qomar,Q
Who is the former Maquis crew member who serves as the chief engineer aboard the USS Voyager?,B'Elanna Torres,Tom Paris,Harry Kim,Seven of Nine,B'Elanna Torres
What is the name of the artificial intelligence that controls the operations of the USS Voyager?,LCARS,Data,The Doctor,EMH,LCARS
Who is Luke Skywalker's father?,Obi-Wan Kenobi,Han Solo,Anakin Skywalker,Sheev Palpatine,Anakin Skywalker
What is the name of Han Solo's ship?,Millennium Falcon,Slave I,TIE Fighter,X-Wing,Millennium Falcon
What is the weapon of a Jedi Knight?,Lightsaber,Blaster,Phaser,Sword,Lightsaber
What species is Yoda?,Unknown,Wookiee,Ewok,Yoda's species,Yoda's species
What is the color of Luke Skywalker's lightsaber in Return of the Jedi?,Green,Blue,Red,Purple,Green
What is the name of the desert planet in Star Wars?,Tatooine,Hoth,Endor,Jakku,Tatooine
What is the name of Boba Fett's ship?,Slave I,Millennium Falcon,TIE Fighter,X-Wing,Slave I
Who is the leader of the Rebel Alliance?,Mon Mothma,Princess Leia,Admiral Ackbar,Han Solo,Mon Mothma
What is the name of Darth Vader's flagship?,Executor,Millennium Falcon,Devastator,Death Star,Executor
"Who is the Sith Lord in ""Star Wars: Episode III - Revenge of the Sith""?",Darth Vader,Emperor Palpatine,Count Dooku,Darth Maul,Emperor Palpatine
What is the name of the race that built the Stargates?,Asgard,Goa'uld,Ancients,Replicators,Ancients
"What is the name of the military unit in ""Starship Troopers"" known for fighting the Arachnids?",Mobile Infantry,Sky Marshal Service,Roughnecks,Fleet,Mobile Infantry
"What is the name of the alien species in ""Starship Troopers"" known for their ability to launch meteorite-like projectiles?",Arachnids,Bugs,Reptilians,Zerg,Arachnids
Who founded the company Apple Inc.?,Bill Gates,Jeff Bezos,Steve Jobs,Mark Zuckerberg,Steve Jobs
"What does the acronym ""URL"" stand for?",Universal Resource Locator,Uniform Resource Locator,Unique Resource Locator,United Resource Locator,Uniform Resource Locator
Which TV show features a family living in Springfield?,South Park,Family Guy,The Simpsons,American Dad,The Simpsons
"Who wrote the novel ""The Andromeda Strain""?",Isaac Asimov,Arthur C. Clarke,Michael Crichton,Philip K. Dick,Michael Crichton
"What is the name of the alien organism in ""The Andromeda Strain""?",Andromeda Strain,Red Weed,Black Cloud,Blue Crystal,Andromeda Strain
"What is the name of the alien visitor in ""The Day the Earth Stood Still""?",Klaatu,Gort,E.T.,Zaphod Beeblebrox,Klaatu
"Which faction controls the asteroid belt in ""The Expanse"" universe?",Earth,Mars,Belters,OPA,Belters
"What is the name of the elemental stones in ""The Fifth Element""?","Fire, Water, Earth, Air","Ruby, Sapphire, Emerald, Diamond","Wind, Fire, Earth, Water","Ice, Fire, Earth, Air","Fire, Water, Earth, Air"
"What is the name of the cab driver in ""The Fifth Element""?",Korben Dallas,Leeloo,Zorg,Ruby Rhod,Korben Dallas
"What is the answer to the Ultimate Question of Life, the Universe, and Everything?",42,23,17,51,42
"What is the name of the depressed robot in ""The Hitchhiker's Guide to the Galaxy""?",Marvin,K-9,R2-D2,C-3PO,Marvin
"What is the name of the fictional nation in ""The Hunger Games""?",District 13,Panem,Capitol,Gilead,Panem
"Who is the protagonist in ""The Hunger Games""?",Katniss Everdeen,Hermione Granger,Bella Swan,Tris Prior,Katniss Everdeen
"What is the name of the country where ""The Hunger Games"" take place?",District 12,Panem,Capitol,Gilead,Panem
"Who wrote the novel ""The Man in the High Castle""?",Isaac Asimov,Ray Bradbury,Philip K. Dick,Arthur C. Clarke,Philip K. Dick
"Who wrote the novel ""The Martian""?",Andy Weir,Neil Gaiman,George Orwell,J.K. Rowling,Andy Weir
"Who is the author of ""The Martian Chronicles""?",Arthur C. Clarke,Ray Bradbury,Isaac Asimov,Philip K. Dick,Ray Bradbury
"What is the name of the computer program that serves as the main antagonist in ""The Matrix""?",Neo,Trinity,Agent Smith,Morpheus,Agent Smith
"What is the name of the city that serves as the last human refuge in ""The Matrix""?",Zion,Rapture,Elysium,Avalon,Zion
"What is the name of the artificial intelligence system in ""The Terminator""?",Skynet,HAL 9000,GERTY,JARVIS,Skynet
"Who plays the role of the Terminator in ""The Terminator""?",Arnold Schwarzenegger,Sylvester Stallone,Bruce Willis,Tom Cruise,Arnold Schwarzenegger
"Who wrote ""The Time Machine""?",H.G. Wells,Jules Verne,Philip K. Dick,Isaac Asimov,H.G. Wells
"What is the name of the protagonist in ""The Time Machine""?",Edward,John,George,Arthur,George
"What is the name of the antagonist in ""The Time Machine""?",Morlock,Eloi,Weena,H.G. Wells,Morlock
"What is the name of the dimension that serves as the setting for ""The Twilight Zone""?",The Fifth Dimension,The Outer Limits,The Unknown Zone,The Phantom Zone,The Fifth Dimension
"Who created the TV series ""The Twilight Zone""?",Rod Serling,Alfred Hitchcock,Steven Spielberg,Gene Roddenberry,Rod Serling
What is the name of the episode where a man finds himself in a small town where people and objects disappear one by one?,It's a Good Life,The Monsters are Due on Maple Street,"Nightmare at 20,000 Feet",Time Enough at Last,It's a Good Life
"What weapon ultimately defeats the Martians in H.G. Wells' ""The War of the Worlds""?",Bacteria,Atomic Bomb,Tanks,Sonic Weapon,Bacteria
"Who wrote ""The War of the Worlds""?",H.G. Wells,Jules Verne,Isaac Asimov,Philip K. Dick,H.G. Wells
"In which country does the Martian invasion take place in ""The War of the Worlds""?",England,France,United States,Germany,England
"What is the name of the protagonist in ""The War of the Worlds""?",George,John,Harry,David,George
"What is the name of the government agency that investigates paranormal activities in ""The X-Files""?",SCP Foundation,FBI,NSA,CIA,FBI
"What is the name of the skeptic FBI agent in ""The X-Files""?",Fox Mulder,Dana Scully,Walter Skinner,John Doggett,Dana Scully
What is the largest country in South America by area?,Argentina,Brazil,Chile,Colombia,Brazil
"What is the name of the virtual world in ""Tron""?",Cyberland,The Grid,The Matrix,NetSphere,The Grid
"What is the primary weapon of a Space Marine in ""Warhammer 40,000""?",Bolter,Lasgun,Plasma Rifle,Chainsword,Bolter
"What is the name of the theme park in ""Westworld""?",Futureworld,Fantasyland,Westworld,Dreamworld,Westworld
